net,length_um
clknet_0_clk,1091.12
_1629_,789.77
_1093_,787.65
_1627_,752.81
_1091_,743.91
_1672_,725.69
_1674_,710.6
_1697_,705.2
_1647_,682.16
net1,678.14
_1698_,671.07
_1632_,649.7
_1060_,614.8
net2,595.2
_1639_,594.19
_1638_,593.16
_1679_,592.04
_1069_,591.76
_1779_,590.34
_1633_,590
net33,588.9
_1055_,584.14
_1080_,578.44
_1126_,575.86
_1122_,574.66
_1125_,572.75
_1121_,568.34
net32,566.29
net40,560.66
_1075_,560.22
net37,552.54
_1058_,551.41
_1667_,549.03
_1061_,546.28
_1026_,546.145
net34,544.46
_1054_,543.24
_1079_,534.96
_1764_,532.6
_1689_,530.37
_1104_,521.97
net38,520.44
_1059_,520.21
_1687_,519.5
net35,515.96
_1660_,514.03
_1027_,512.44
clk,507.7
_1142_,505.63
_2873_,505.37
_1143_,502.33
_1661_,501.5
_1074_,500.12
_1106_,499.335
_1077_,497.06
_1636_,493.15
net9,492.84
_1783_,492.34
_1703_,490.08
net3,489.94
_1692_,489.93
_1119_,488.98
_1765_,487.17
net36,486.62
net39,484.47
_1681_,482.41
_1068_,481.18
_1154_,479.32
_1710_,477.535
_1118_,471.79
_1684_,471.61
net185,469.66
_1691_,469.535
_1702_,468.84
net28,468.3
_1153_,466.5
_1685_,466.205
net201,464.66
_1722_,464.27
net187,463.72
_1676_,462.64
_1135_,462.185
_1146_,459.745
_1677_,459.68
net29,458.11
A1[3],456.7
_1051_,454.025
net27,453.33
_1098_,452.54
net14,451.44
_1705_,450.01
clknet_4_14_0_clk,448.55
net20,447.14
clknet_4_15_0_clk,446.91
_1630_,445.3
net31,445.26
_1708_,444.09
_2822_,443.18
_1032_,441.44
A2[3],439.5
net17,438.6
_1094_,434.83
A1[1],434.77
_1024_,434.44
_1682_,434.18
_1145_,432.25
_1092_,431.28
net196,431.22
net183,430.3
_1159_,428.56
net193,428.4
_1101_,428.11
_1099_,427.89
_1723_,427.7
net194,426.92
_1028_,426.145
net15,425.86
_1663_,423.52
_1635_,423.1
_1628_,421.95
net197,421.18
_1029_,420.3
_1157_,419.07
_1050_,418.745
_1706_,418.34
net190,416.96
_1031_,416.92
net12,416.83
_1641_,415.47
net195,414.68
_1137_,413.2
_2879_,412.475
net200,411.78
net191,411.1
_1134_,409.42
net26,408.24
_1673_,407.85
net25,406.8
net30,406.8
_1138_,406.45
_1197_,406.31
_1643_,405.84
net8,404.68
_1694_,404.59
_1102_,403.35
_1071_,402.935
net7,401.44
_1198_,399.36
A2[0],394.47
_3269_,392.215
_1656_,390.84
clknet_4_13_0_clk,390.33
net6,390.135
net192,389.26
_1931_,388.59
_1072_,387.17
A2[1],386.71
net189,385.8
net18,385.21
net173,381.9
_1730_,381.04
_1648_,379.99
_1653_,379.98
clknet_4_11_0_clk,378.31
_3275_,377.89
_3271_,377.41
net11,376.84
_1739_,376.3
_1729_,375.13
_3256_,374.79
net21,374.78
_1163_,373.97
net188,373.74
_1156_,372.28
net186,371.78
_1166_,371.52
_1083_,369.75
_1419_,368.7
net41,368.27
_1655_,368
net184,367.74
_1711_,367.69
_1117_,365.56
_3263_,365
_2861_,364.33
_1085_,364.24
_2968_,363.8
_1930_,362.96
_1164_,362.84
clknet_4_6_0_clk,360.06
_2865_,359.98
net182,359.46
_1224_,358.91
net22,357.915
clknet_4_0_0_clk,357.15
_4031_,356.89
_1646_,356.6
_1140_,356.31
_1084_,353.77
_1665_,352.77
_1664_,352.41
_1273_,352.4
net13,351.09
_1167_,350.915
clknet_4_10_0_clk,350.74
_3267_,349.62
_1774_,349.47
_3707_,348.44
_1700_,347.415
net24,346.96
_3277_,346.775
_1652_,346.59
net16,345.9
_1650_,344.88
_2860_,344.335
_3246_,343.85
_3252_,343.35
_1714_,342.46
_1096_,340.58
_3273_,340.06
_1187_,339.84
net10,339.16
_2877_,338.6
_3261_,338.4
_1886_,338.35
_1645_,337.9
_2867_,337.64
net178,337.56
_3265_,336.76
_1841_,336.3
_1272_,334.8
_1860_,332.36
_1169_,332.29
_1716_,331.75
_3220_,331.74
_3242_,331.46
_1747_,331.32
_1087_,330.14
_1148_,329.92
net163,329.89
_2884_,328.96
net5,328.56
_1315_,328.26
net168,327.86
_3222_,327.68
_1696_,326
_1107_,325.4
_4058_,324.89
_1133_,324.79
net181,324.52
_1178_,324.42
_1859_,324.26
_1088_,323.58
net164,323.56
_3240_,323.37
net23,323.13
_1064_,322.24
_3257_,321.93
_1056_,321.64
_2167_,321.57
_1885_,321
_1713_,320.48
_1090_,320.24
_1746_,320.1
_3250_,319.6
_3280_,317.62
net19,317.24
_3282_,317.175
_3259_,316.7
_3248_,316.525
_1626_,316.24
_2869_,315.64
net4,315.54
_2980_,314.91
_1325_,312.74
_1171_,312.56
_2970_,311.825
_3203_,311.65
_1066_,310.53
net171,309.6
clknet_4_12_0_clk,307.99
_3671_,307.92
_1128_,307.82
_3254_,306.26
_3527_,305.13
_4069_,304.78
_3970_,304.58
net165,303.79
net140,303.36
clknet_4_8_0_clk,301.79
_1642_,301.42
_1717_,301.33
_2863_,300.46
_1082_,300.31
_3995_,299.52
_1669_,299.46
_3284_,299.24
_1057_,298.435
net167,297.92
_3286_,297.3
_3166_,296.84
_3093_,296.62
_1659_,295.82
_2875_,295.55
_2170_,295.44
_3646_,295.1
_3232_,294.23
_2852_,293.78
clknet_4_1_0_clk,292.32
clknet_4_5_0_clk,292.3
_2881_,292.1
_3718_,291.77
_3599_,291.64
_3226_,291.48
_1316_,291.24
_1726_,290.325
_3234_,290.28
_3224_,289.55
_3019_,289.44
_1366_,289.13
_2871_,288.34
_3502_,288.2
_3743_,287.24
_3563_,286.46
_3228_,286.315
_1150_,286.18
_3238_,285.78
net106,285.72
_3244_,285.61
_2986_,285.2
_1065_,285.17
_2848_,285.09
net170,284.2
_2890_,283.56
_1162_,283.46
_2854_,282.94
_2982_,282.34
_1108_,281.31
net132,280.74
_1321_,279.86
net169,279.65
_1761_,279.62
_2171_,279.56
_2898_,279.06
_2967_,278.8
_3635_,275.85
A1[0],275.49
_2886_,275.4
net162,274.82
net120,274.7
_2856_,274.24
net166,274.2
_2363_,271.62
_3454_,269.25
net117,269.16
net121,268.68
_2900_,268.36
_3923_,267.12
_2842_,266.34
_1625_,266.25
_3192_,266.09
net127,264.72
_2844_,264.275
_3056_,263.2
_3155_,262.5
_2896_,262.45
_3779_,262.11
_2888_,261.64
_3067_,260.4
_3381_,259.86
_3623_,259.01
net151,258.82
net107,258.39
_2892_,258
net126,257.58
_2340_,257.395
_2836_,256.92
_1152_,256.875
net124,256.27
_3898_,255.5
_1320_,254.81
_3947_,252.82
_1928_,252.78
_3959_,251.77
_1063_,251.7
net111,251.56
_3230_,251.08
_1671_,250.45
_3465_,250.07
_3177_,249.475
_3551_,249.37
_3815_,249.04
_3948_,248.42
net122,248.18
_2333_,247.225
_2947_,246.8
_3392_,246.59
_3442_,246.05
_3082_,245.98
_3804_,245.19
net145,244.78
_2850_,244.77
_3754_,244.72
_2951_,244.56
_1368_,244.36
_2882_,244.21
_3660_,243.98
_3307_,243.76
_3129_,243.2
_4020_,242.37
_2819_,242.19
_1369_,241.85
_2224_,241.695
_3479_,241.52
_2840_,241.49
_3296_,241.33
_2233_,241.02
_3008_,241.01
_3417_,240.945
_3538_,240.88
net114,240.58
_2910_,240.43
_2921_,240.22
_2989_,239.62
_2894_,239.5
_3355_,239.49
_3574_,239.46
net148,237.76
_3587_,237.42
_3491_,236.73
_3295_,236.42
_2858_,236.26
_3344_,234.45
_3236_,234.125
net123,231.94
_3887_,231.54
_2957_,230.98
_2955_,230.79
net125,230.71
_2166_,230.3
_2904_,229.93
_3912_,229.81
_3911_,229.75
_3876_,229.455
_2285_,229.2
_2945_,229.18
clknet_4_4_0_clk,228.43
_3624_,228.18
_2165_,228.13
_3552_,227.9
_2953_,227.76
_2963_,226.985
_2932_,226.69
clknet_4_7_0_clk,226.53
_3588_,224.395
_2902_,224.39
_2846_,224.205
_3934_,223.97
_2976_,223
_2172_,222.98
net141,222.54
_4042_,221.88
_3851_,221.7
_3478_,221.56
net129,220.04
_2830_,220.02
_3731_,219.94
_2961_,219.82
_3443_,219.54
_3826_,219.33
_2226_,219.08
_4006_,219.04
_2817_,218.72
_2824_,218.255
_1334_,217.76
_2908_,217.44
_3045_,217
net131,216.84
_3984_,216.64
_3118_,216.48
_3333_,215.92
_3030_,214.72
_3332_,214.35
_2834_,213.73
_3696_,212.53
_3732_,212.24
_2838_,212.17
_1901_,211.31
_2225_,211
_3318_,210.28
_3682_,209.015
_3214_,208.56
_2159_,208.335
_2949_,208
_3768_,207.48
clknet_4_2_0_clk,206.94
_3875_,205.56
_3480_,205.5
_3278_,205.06
_3516_,204.275
_2203_,204.26
_3104_,204.22
_3140_,203.635
_1986_,203.07
_2338_,202.76
_2828_,202.36
_2972_,202.31
_1854_,201.88
_3610_,201.76
_2974_,201.68
clknet_4_9_0_clk,201.63
_3659_,201.48
_2995_,199.225
net110,199.02
_3803_,198.85
_1945_,198.72
_3044_,198.34
net143,197.74
_3428_,197.49
_3840_,197.4
net112,197.315
_2337_,195.89
_1649_,195.775
_2262_,194.21
_3839_,193.44
_2826_,193.22
_3862_,193.045
_2959_,192.5
_3117_,191.99
_2821_,190.82
_1812_,190.64
_2310_,189.36
_3369_,188.82
net161,188.7
_2164_,188.06
_2978_,187.87
_2984_,187.72
_3767_,187.2
_2965_,186.68
net139,186.24
_2832_,186.1
_2163_,185.34
net128,185.06
_2991_,183.9
_3405_,182.58
_2988_,182.2
_2909_,182.12
clknet_4_3_0_clk,180.88
_2212_,179.99
_2250_,179.605
_2997_,178.58
_3790_,178.32
net108,178.26
_2300_,178.18
_1444_,178.14
net142,178.14
_2294_,177.68
net147,175.07
net136,174.98
_3370_,174.84
_2326_,174.68
_1519_,174.56
_1489_,174.09
net85,173.985
_1030_,173.22
_1398_,172.97
net146,172.88
_2839_,172.45
_1383_,171.88
_1335_,171.7
_3695_,171.23
net158,170.72
net159,170.54
_1534_,170.47
net160,169.16
_3154_,168.86
_1768_,166.69
_3235_,166.68
net205,165.12
_3406_,164.02
_2302_,162.2
_2946_,162.16
_1299_,161.9
net130,161.82
_2232_,161.595
net118,160.84
_1474_,160.6
_3515_,160.26
_3191_,159.16
net150,158.74
_3983_,158.58
_2217_,155.39
_2270_,155.165
net133,154.64
net149,154.12
_1132_,153.6
_2115_,153.48
_2587_,153.42
_2186_,153.36
net156,153
_3007_,152.96
_3081_,152.9
_1350_,152.85
_1284_,152.59
_2202_,152.28
net97,152.24
_3441_,151.885
_1579_,151.46
net96,150.79
_1429_,150.68
net94,150.58
_1564_,150.5
_1712_,150.44
_2029_,150.14
_1914_,149.69
_2072_,149.46
net115,148.24
_2278_,147.24
_2609_,147.21
_2284_,146.76
net93,146.525
_1206_,146.49
_2249_,145.565
net92,145.38
_2644_,145.33
_2634_,144.98
net152,144.32
_2588_,144.24
_2504_,143.22
_3368_,142.66
_1109_,142.56
_2993_,142.52
_1252_,141.48
_2472_,141.28
net98,140.5
_2269_,140.37
net116,139.96
_2423_,139.9
_2259_,139.78
net95,139.4
_4019_,139.24
_2280_,138.915
net109,138.59
_1189_,138.28
clknet_leaf_91_clk,137.6
clknet_leaf_64_clk,136.38
_2044_,136.16
clknet_leaf_5_clk,136.13
_1237_,135.08
_2441_,134.845
net204,134.535
_1958_,134.47
net144,133.42
_1871_,133.19
net65,132.68
_2328_,132.46
_1784_,130.92
_2087_,130.33
net119,130
net113,129.66
net155,129.36
_2539_,128.54
_2389_,128.535
_2651_,127.9
net153,127.54
_2665_,124.88
_1609_,124.86
_2273_,124.7
clknet_leaf_35_clk,124.435
net157,123.78
net91,123.6
_1361_,123.44
_1409_,123.06
clknet_leaf_102_clk,122.02
_2367_,121.62
_1624_,120.98
_2130_,119.78
clknet_leaf_89_clk,119.38
_1734_,119.09
net135,118.78
net138,117.94
_1310_,117.14
_1263_,116.85
_2403_,116.515
_1825_,116.34
_2001_,116.14
_3153_,115.1
clknet_leaf_97_clk,114.58
_1500_,114.44
_1161_,113.38
